Phillyrea angustifolia,Olivillo,True,False,False,"GRAN CANARIA,LANZAROTE,FUERTEVENTURA"
Phoenix canariensis,Palmera canaria,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Phoenix dactylifera,Datilera,False,False,False,"GRAN CANARIA,TENERIFE,LA PALMA,LANZAROTE,FUERTEVENTURA"
Picconia excelsa,Palo blanco,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Pinus canariensis,Pino canario,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Pinus halepensis,Pino carrasco,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Pinus pinaster,Pino resinero,False,False,False,"GRAN CANARIA,TENERIFE"
Pinus radiata,Pino insigne,False,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE"
Pistacia atlantica,Almácigo,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Pistacia lentiscus,Lentisco,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Pittosporum undulatum,"Azarero, incienso",False,False,False,"GRAN CANARIA,TENERIFE"
Platanus hispanica,Plátano de sombra,False,True,False,GRAN CANARIA
Pleiomeris canariensis,Delfino,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Populus alba,"Álamo blanco, álamo",False,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Populus nigra,"Chopo, álamo negro",False,False,False,GRAN CANARIA
Prunus domestica,"Ciruelo silvestre, ciruelero",False,False,False,"GRAN CANARIA,TENERIFE"
Prunus dulcis,Almendro,False,True,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Prunus lusitanica,"Hija, jija",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Quercus ilex,Encina,False,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Quercus robur,"Roble común, roble albar",False,False,False,"GRAN CANARIA,TENERIFE"
Quercus suber,Alcornoque,False,False,False,"GRAN CANARIA,TENERIFE"
Rhamnus glandulosa,Sanguino,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Robinia pseudoacacia,Falsa acacia,False,False,True,GRAN CANARIA
Salix canariensis,"Sao, sauce canario",True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Salix fragilis,"Mimbrera, sauce",False,True,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA"
Sambucus palmensis,Saúco canario,True,False,False,"GRAN CANARIA,TENERIFE,GOMERA,LA PALMA"
Schinus molle,Falso pimentero,False,False,True,"GRAN CANARIA,TENERIFE,GOMERA,LANZAROTE,FUERTEVENTURA"
Sideroxylon canariensis,Marmulano,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,FUERTEVENTURA"
Tamarix,Tarajal,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
Tetraclinis articulata,"Araar, sabina de Cartagena",False,True,True,GRAN CANARIA
Ulmus minor,Olmo,False,False,False,"GRAN CANARIA,TENERIFE"
Viburnum rigidum,Follao,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA"
Visnea mocanera,Mocán,True,False,False,"GRAN CANARIA,HIERRO,TENERIFE,GOMERA,LA PALMA,LANZAROTE,FUERTEVENTURA"
